,name,rating,reviews,salary,jobs
122,Manappuram Finance,3.9,3.4k,7.5k,4
123,IQVIA,4.1,3.4k,26.5k,44
124,Bosch,4.3,3.4k,19.9k,10
125,Bosch Global Software Technologies,4.2,3.4k,34.3k,9
126,Equitas Small Finance Bank,4.3,3.4k,11.1k,19
127,Cummins,4.4,3.4k,14.9k,26
128,SBI Cards & Payment Services,3.7,3.3k,15.2k,130
129,Oyo Rooms,3.4,3.3k,25.2k,169
130,BNY Mellon,4.1,3.3k,28.2k,441
131,BT Group,4.1,3.3k,10.9k,28
132,SMFG India Credit,4.1,3.3k,10.2k,35
133,Amdocs,4.0,3.3k,34.8k,5
134,Schneider Electric,4.1,3.2k,20.6k,138
135,Cholamandalam Investment & Finance,4.1,3.2k,9.5k,11
136,CBRE,4.2,3.2k,15.7k,122
137,L&T Technology Services,3.4,3.2k,31.2k,1
138,Future Group,4.3,3.2k,11.9k,16
139,State Bank of India,3.7,3.1k,10.2k,183
140,Ekart Logistics,4.0,3.1k,7.7k,--
141,Swiggy,3.9,3.1k,19k,385
142,JBM Group,4.0,3.1k,13.1k,1
143,Dell,4.1,3.1k,27.1k,90
144,Ecom Express,4.0,3.1k,8.2k,60
145,SBI Life Insurance Company,3.8,3k,10.7k,18
146,Bajaj Auto,3.9,3k,12.9k,--
147,Optum,4.0,3k,24.4k,23
148,Nagarjuna Construction Company,4.1,3k,10.4k,9
149,KEC International,4.1,3k,10.9k,4
150,Aditya Birla Fashion and Retail,4.2,2.9k,11.7k,72
151,Muthoot Fincorp,4.0,2.9k,7.8k,22
152,Viatris,4.2,2.9k,14.4k,2
153,Piramal Capital Housing Finance,4.2,2.9k,9.1k,23
154,Samvardhana Motherson Group,3.8,2.9k,13.4k,43
155,Royal Enfield,4.2,2.9k,13.8k,13
156,Tata Communications,4.1,2.9k,22.5k,444
157,Godrej & Boyce Manufacturing,3.9,2.8k,16.4k,34
158,L&T Finance,4.0,2.8k,10.9k,1
159,LG Electronics,4.0,2.8k,10k,6
160,John Deere,4.3,2.8k,14k,12
161,Intas Pharmaceuticals,4.2,2.8k,14.7k,68
162,Whitehat jr,3.5,2.7k,9.5k,514
163,Varun Beverages,4.0,2.7k,9.1k,94
164,Thermax Limited,4.2,2.7k,11.9k,39
165,Randstad,3.9,2.7k,13k,2.3k
166,Hetero Drugs,3.8,2.7k,13.6k,27
167,Deutsche Bank,4.1,2.7k,31.2k,699
168,Persistent Systems,3.8,2.7k,31.5k,87
169,Havells,4.1,2.7k,12.1k,59
170,Ford Motor,4.4,2.7k,14.3k,47
171,Sodexo,4.1,2.7k,9.6k,98
172,Abbott Healthcare,4.1,2.7k,10.6k,65
173,Subros,3.9,2.7k,12k,5
174,Macleods Pharmaceuticals,3.8,2.6k,13.6k,--
175,CARS24,3.6,2.6k,11.9k,283
176,VE Commercial Vehicles,4.0,2.6k,12.5k,3
177,Automatic Data Processing (ADP),4.1,2.6k,20.3k,35
178,American Express,4.3,2.6k,20.7k,96
179,UnitedHealth,4.1,2.6k,22.7k,10
180,Kogta Financial India Limited,4.8,2.6k,1.3k,14
181,Team Lease,3.9,2.6k,13.8k,282
182,Standard Chartered Bank,3.9,2.6k,25.9k,34
183,Indian Oil Corporation,4.4,2.5k,7k,--
184,Cgi Group,4.1,2.5k,32.8k,130
185,Pidilite Industries,4.4,2.5k,9.4k,40
186,Bharat Electronics,4.1,2.5k,11.3k,--
187,Atos,3.8,2.5k,27.5k,6
188,Publicis Sapient,3.6,2.5k,27.9k,189
189,Hindalco Industries,4.2,2.5k,9.7k,8
190,Alkem Laboratories,3.9,2.5k,9k,26
191,Alembic Pharmaceuticals,4.0,2.5k,13.4k,39
192,R1 RCM,3.9,2.5k,15.5k,31
193,Indian Air Force,4.6,2.5k,5.1k,--
194,Access Healthcare,3.9,2.5k,17.4k,49
195,DCB Bank,3.9,2.5k,8.7k,36
196,Hindustan Coca Cola Beverages,4.3,2.4k,7.2k,66
197,ITC Infotech,3.6,2.4k,27.4k,77
198,Wipro Infotech,4.0,2.4k,18.3k,--
199,Barclays,4.1,2.4k,22.4k,43
